id,position,stratum,family,format_valid,decision_correct,internally_consistent,full_correct,false_clear,false_report,strict_json,decision_valid,reason_correct,selected_exact,count_exact,eos_finished,order_assessable,requested_order_followed
rc-calibration-00135,24,clear,all__approved_only__events,1,0,0,0,0,1,1,1,1,1,1,1,1,1
rc-calibration-00115,25,control_report,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00121,26,control_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00000,27,trigger_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00066,28,control_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00094,29,control_report,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00060,30,trigger_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00167,31,clear,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00112,32,control_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00036,33,trigger_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00144,34,clear,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00181,35,clear,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00182,36,clear,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00061,37,trigger_report,all__approved_only__issues,1,1,0,0,0,0,1,1,1,0,0,1,1,1
rc-calibration-00032,38,trigger_report,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00160,39,clear,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00015,40,trigger_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00030,41,trigger_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00191,42,clear,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00176,43,clear,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00009,44,trigger_report,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00031,45,trigger_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00173,46,clear,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00097,47,control_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00096,48,control_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00083,49,control_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00051,50,trigger_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00105,51,control_report,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00155,52,clear,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00106,53,control_report,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00180,54,clear,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00024,55,trigger_report,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00175,56,clear,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00158,57,clear,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00120,58,control_report,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00159,59,clear,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00088,60,control_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00107,61,control_report,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00022,62,trigger_report,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00027,63,trigger_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00006,64,trigger_report,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00017,65,trigger_report,current__none__issues,1,1,0,0,0,0,1,1,1,0,1,1,1,1
